Case79,cntr_Manchester_TRY.epw,0,0.592,0.828,0.242,4000,0.03,0.054,0.054,0.5,66,0.0005,0.00028,24.4,0,0.47,3.84,0.08
Case80,cntr_Manchester_TRY.epw,0,0.592,0.828,0.38,4000,0.03,0.054,0.054,0.5,66,0.0005,0.00028,24.4,0,0.47,3.84,0.08
Case81,cntr_Manchester_TRY.epw,0,0.592,0.828,0.38,4000,0.03,0.054,0.054,0.5,66,0.0005,0.00082,24.4,0,0.47,3.84,0.08
Case82,cntr_Manchester_TRY.epw,0,0.868,0.828,0.38,4000,0.03,0.054,0.054,0.5,66,0.0005,0.00082,24.4,0,0.47,3.84,0.08
Case83,cntr_Manchester_TRY.epw,0,0.868,0.828,0.38,4000,0.03,0.021,0.054,0.5,66,0.0005,0.00082,24.4,0,0.47,3.84,0.08
Case84,cntr_Manchester_TRY.epw,0,0.868,0.828,0.38,4000,0.03,0.021,0.054,0.5,66,0.0005,0.00082,24.4,108,0.47,3.84,0.08
Case85,cntr_Manchester_TRY.epw,0,0.868,0.828,0.38,1720,0.03,0.021,0.054,0.5,66,0.0005,0.00082,24.4,108,0.47,3.84,0.08
Case86,cntr_Manchester_TRY.epw,0,0.684,0.564,0.242,960,0.01,0.032,0.032,0.876,80,0.0005,0.00064,22.8,36,0.19,5.56,15.032
Case87,cntr_Manchester_TRY.epw,0,0.684,0.564,0.242,960,0.01,0.032,0.032,0.594,80,0.0005,0.00064,22.8,36,0.19,5.56,15.032
Case88,cntr_Manchester_TRY.epw,0,0.684,0.564,0.38,960,0.01,0.032,0.032,0.594,80,0.0005,0.00064,22.8,36,0.19,5.56,15.032
Case89,cntr_Manchester_TRY.epw,0,0.684,0.564,0.38,960,0.025,0.032,0.032,0.594,80,0.0005,0.00064,22.8,36,0.19,5.56,15.032
Case90,cntr_Manchester_TRY.epw,0,0.684,0.564,0.38,960,0.025,0.032,0.032,0.594,80,0.0005,0.00064,22.8,36,0.19,0.4,15.032
Case91,cntr_Manchester_TRY.epw,0,0.684,0.564,0.38,960,0.025,0.032,0.032,0.594,80,0.0005,0.0001,22.8,36,0.19,0.4,15.032
Case92,cntr_Manchester_TRY.epw,0,0.684,0.564,0.38,960,0.025,0.065,0.032,0.594,80,0.0005,0.0001,22.8,36,0.19,0.4,15.032
Case93,cntr_Manchester_TRY.epw,0,0.684,0.564,0.38,960,0.025,0.065,0.032,0.594,80,0.0005,0.0001,22.8,36,0.19,0.4,0.08
Case94,cntr_Manchester_TRY.epw,0,0.684,0.564,0.38,960,0.025,0.065,0.032,0.594,38,0.0005,0.0001,22.8,36,0.19,0.4,0.08
Case95,cntr_Manchester_TRY.epw,0,0.684,0.564,0.38,3240,0.025,0.065,0.032,0.594,38,0.0005,0.0001,22.8,36,0.19,0.4,0.08
Case96,cntr_Manchester_TRY.epw,0,0.684,0.564,0.38,3240,0.025,0.065,0.032,0.594,38,0.0005,0.0001,18,36,0.19,0.4,0.08
Case97,cntr_Manchester_TRY.epw,0,0.684,0.564,0.38,3240,0.025,0.065,0.032,0.594,38,0.0005,0.0001,18,144,0.19,0.4,0.08
Case98,cntr_Manchester_TRY.epw,0,0.684,0.564,0.38,3240,0.025,0.065,0.032,0.594,38,0.0005,0.0001,18,144,0.61,0.4,0.08
Case99,cntr_Manchester_TRY.epw,0,0.684,0.564,0.38,3240,0.025,0.065,0.065,0.594,38,0.0005,0.0001,18,144,0.61,0.4,0.08
Case100,cntr_Manchester_TRY.epw,0,0.96,0.564,0.38,3240,0.025,0.065,0.065,0.594,38,0.0005,0.0001,18,144,0.61,0.4,0.08
Case101,cntr_Manchester_TRY.epw,0,0.96,0.96,0.38,3240,0.025,0.065,0.065,0.594,38,0.0005,0.0001,18,144,0.61,0.4,0.08
Case102,cntr_Manchester_TRY.epw,0,0.96,0.96,0.38,3240,0.025,0.065,0.065,0.594,38,0.0032,0.0001,18,144,0.61,0.4,0.08
Case103,cntr_Manchester_TRY.epw,0,0.684,0.3,0.196,4000,0.025,0.043,0.032,0.782,38,0.0023,0.001,22.8,36,0.33,3.84,0.08
Case104,cntr_Manchester_TRY.epw,0,0.684,0.3,0.196,4000,0.025,0.043,0.032,0.782,38,0.0023,0.001,22.8,36,0.33,3.84,15.032
Case105,cntr_Manchester_TRY.epw,0,0.684,0.3,0.196,4000,0.025,0.043,0.032,0.782,38,0.005,0.001,22.8,36,0.33,3.84,15.032
Case106,cntr_Manchester_TRY.epw,0,0.684,0.3,0.196,4000,0.025,0.043,0.032,0.782,38,0.005,0.00046,22.8,36,0.33,3.84,15.032
Case107,cntr_Manchester_TRY.epw,0,0.96,0.3,0.196,4000,0.025,0.043,0.032,0.782,38,0.005,0.00046,22.8,36,0.33,3.84,15.032
Case108,cntr_Manchester_TRY.epw,0,0.96,0.3,0.196,4000,0.01,0.043,0.032,0.782,38,0.005,0.00046,22.8,36,0.33,3.84,15.032
Case109,cntr_Manchester_TRY.epw,0,0.96,0.3,0.196,4000,0.01,0.043,0.032,0.782,38,0.005,0.00046,22.8,36,0.33,9,15.032
Case110,cntr_Manchester_TRY.epw,0,0.96,0.3,0.196,4000,0.01,0.043,0.032,0.782,38,0.005,0.00046,22.8,144,0.33,9,15.032
Case111,cntr_Manchester_TRY.epw,0,0.96,0.3,0.196,1720,0.01,0.043,0.032,0.782,38,0.005,0.00046,22.8,144,0.33,9,15.032
